date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:38	76479/76479	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2013:59:38%20GMT	https://www.bancopatagonia.com.ar/personas/index.php	/home/tats/Desktop/redesTP7/www.bancopatagonia.com.ar/personas/index.html	(from )
10:59:41	42946/42946	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2013:59:41%20GMT	https://www.bancopatagonia.com.ar/canales-de-atencion/index.php	/home/tats/Desktop/redesTP7/www.bancopatagonia.com.ar/canales-de-atencion/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
10:59:42	43204/43204	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2013:59:42%20GMT	https://www.bancopatagonia.com.ar/ayuda/index.php	/home/tats/Desktop/redesTP7/www.bancopatagonia.com.ar/ayuda/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
10:59:43	570/570	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2013:59:40%20GMT	https://www.googletagmanager.com/ns.html?id=GTM-NL73B44	/home/tats/Desktop/redesTP7/www.googletagmanager.com/ns5408.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
10:59:43	52201/52201	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2013:59:43%20GMT	https://www.bancopatagonia.com.ar/nyps/index.php	/home/tats/Desktop/redesTP7/www.bancopatagonia.com.ar/nyps/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
10:59:44	53980/53980	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2013:59:43%20GMT	https://www.bancopatagonia.com.ar/pyme/index.php	/home/tats/Desktop/redesTP7/www.bancopatagonia.com.ar/pyme/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
10:59:45	53469/53469	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2013:59:44%20GMT	https://www.bancopatagonia.com.ar/agro/index.php	/home/tats/Desktop/redesTP7/www.bancopatagonia.com.ar/agro/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
10:59:46	52282/52282	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2013:59:46%20GMT	https://www.bancopatagonia.com.ar/empresas/index.php	/home/tats/Desktop/redesTP7/www.bancopatagonia.com.ar/empresas/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
10:59:47	952/952	---M--	200	added ('OK')	text/html	etag:%223b8-6199e26fe6f80%22	https://tunuevacuenta.bancopatagonia.com.ar/?utm_source=sitiowebbp&utm_medium=sitiowebbp%20banner%20home&utm_campaign=onboarding_sitiowebp_bannerhome	/home/tats/Desktop/redesTP7/tunuevacuenta.bancopatagonia.com.ar/indexe0b0.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
10:59:47	42364/42364	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2013:59:47%20GMT	https://www.bancopatagonia.com.ar/sector-publico/index.php	/home/tats/Desktop/redesTP7/www.bancopatagonia.com.ar/sector-publico/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
10:59:48	42584/42584	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2013:59:48%20GMT	https://www.bancopatagonia.com.ar/institucional/index.php	/home/tats/Desktop/redesTP7/www.bancopatagonia.com.ar/institucional/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
